idMso	Exists in Office Excel 2010	Type in Office Excel 2010	Label in Office Excel 2010	Exists in Office Excel 2013	Type in Office Excel 2013	Label in Office Excel 2013
ConditionalFormattingTopBottomMenu	1	menu	Top/Bottom Rules	1	menu	Top/Bottom Rules
ConditionalFormattingTopBottomMore	1	button	More Rules	1	button	More Rules
ConditionalFormattingTopNItems	1	button	Top 10 Items	1	button	Top 10 Items
ConditionalFormattingTopNPercent	1	button	Top 10 %	1	button	Top 10 %
ConditionalFormattingsManage	1	button	Manage Rules	1	button	Manage Rules
ConnectionProperties	1	button	Connection Properties	1	button	Connection Properties
Connections	1	button	Connections	1	button	Connections
Consolidate	1	button	Consolidate	1	button	Consolidate
ConstrainNumeric	1	button	Constrain Numeric	1	button	Constrain Numeric
ContactUs	1	button	Contact Us	1	button	Contact Us
ContextMenuActiveXControl	0			1	contextMenu	
ContextMenuAutoFill	0			1	contextMenu	
ContextMenuCell	0			1	contextMenu	
ContextMenuCellLayout	0			1	contextMenu	
ContextMenuChartArea	0			1	contextMenu	
ContextMenuChartAxis	0			1	contextMenu	
ContextMenuChartAxisLabel	0			1	contextMenu	
ContextMenuChartAxisTitle	0			1	contextMenu	
ContextMenuChartBackWall	0			1	contextMenu	
ContextMenuChartDataLabel	0			1	contextMenu	
ContextMenuChartDataLabels	0			1	contextMenu	
ContextMenuChartDataPoint	0			1	contextMenu	
ContextMenuChartDataSeries	0			1	contextMenu	
ContextMenuChartDataTable	0			1	contextMenu	
ContextMenuChartDisplayUnit	0			1	contextMenu	
ContextMenuChartDownBars	0			1	contextMenu	
ContextMenuChartDropLines	0			1	contextMenu	
ContextMenuChartErrorBars	0			1	contextMenu	
ContextMenuChartFloor	0			1	contextMenu	
ContextMenuChartGridlines	0			1	contextMenu	
ContextMenuChartHighLowLine	0			1	contextMenu	
ContextMenuChartLeaderLines	0			1	contextMenu	
ContextMenuChartLegend	0			1	contextMenu	
ContextMenuChartLegendEntry	0			1	contextMenu	
ContextMenuChartPlotArea	0			1	contextMenu	
ContextMenuChartSeriesLine	0			1	contextMenu	
ContextMenuChartSideWall	0			1	contextMenu	
ContextMenuChartSketchMode	1	contextMenu		0		
ContextMenuChartTitle	0			1	contextMenu	
ContextMenuChartTrendline	0			1	contextMenu	
ContextMenuChartTrendlineLabel	0			1	contextMenu	
ContextMenuChartUpBars	0			1	contextMenu	
ContextMenuChartWalls	0			1	contextMenu	
ContextMenuColumn	0			1	contextMenu	
ContextMenuColumnLayout	0			1	contextMenu	
ContextMenuColumnTouch	0			1	contextMenu	
ContextMenuConnectorClassic	0			1	contextMenu	
ContextMenuCurve	0			1	contextMenu	
ContextMenuCurveNode	0			1	contextMenu	
ContextMenuCurveSegment	0			1	contextMenu	
ContextMenuDesktop	0			1	contextMenu	
ContextMenuDialogPly	0			1	contextMenu	
ContextMenuDrawnObject	0			1	contextMenu	
ContextMenuFormControl	0			1	contextMenu	
ContextMenuFormulaBar	0			1	contextMenu	
ContextMenuGraphicsCompatibility	0			1	contextMenu	
ContextMenuInk	1	contextMenu		1	contextMenu	
ContextMenuListRange	0			1	contextMenu	
ContextMenuListRangeLayout	0			1	contextMenu	
ContextMenuMacroCell	0			1	contextMenu	
ContextMenuObjectEditPoint	0			1	contextMenu	
ContextMenuObjectEditSegment	0			1	contextMenu	
ContextMenuObjectsGroup	0			1	contextMenu	
ContextMenuOfficeWebExtension	0			1	contextMenu	
ContextMenuOleObject	0			1	contextMenu	
ContextMenuPhoneticEdit	0			1	contextMenu	
ContextMenuPicture	0			1	contextMenu	
ContextMenuPictureClassic	0			1	contextMenu	
ContextMenuPivotTable	0			1	contextMenu	
ContextMenuPivotTableSimpleTouch	0			1	contextMenu	
ContextMenuPivotTableTouch	0			1	contextMenu	
ContextMenuPreviewer	0			1	contextMenu	
ContextMenuQuery	0			1	contextMenu	
ContextMenuQueryLayout	0			1	contextMenu	
ContextMenuRightDragDrop	0			1	contextMenu	
ContextMenuRow	0			1	contextMenu	
ContextMenuRowLayout	0			1	contextMenu	
ContextMenuRowTouch	0			1	contextMenu	
ContextMenuShape	0			1	contextMenu	
ContextMenuShapeConnector	0			1	contextMenu	
ContextMenuShapeFreeform	0			1	contextMenu	
ContextMenuSlicer	1	contextMenu		1	contextMenu	
ContextMenuSlicerBackground	1	contextMenu		0		
ContextMenuSlicerBtnClear	1	contextMenu		0		
ContextMenuSlicerBtnFilter	1	contextMenu		0		
ContextMenuSlicerCaption	1	contextMenu		0		
ContextMenuSlicerItems	1	contextMenu		0		
ContextMenuSlicerSb	1	contextMenu		0		
ContextMenuSlicerScrollBtnDown	1	contextMenu		0		
ContextMenuSlicerScrollBtnUp	1	contextMenu		0		
ContextMenuSmartArtBackground	0			1	contextMenu	
ContextMenuSmartArtContentPane	0			1	contextMenu	
ContextMenuSmartArtEdit1DShape	0			1	contextMenu	
ContextMenuSmartArtEdit1DShapeText	0			1	contextMenu	
ContextMenuSmartArtEditSmartArt	0			1	contextMenu	
ContextMenuSmartArtEditText	0			1	contextMenu	
ContextMenuTextEdit	0			1	contextMenu	
ContextMenuTimeSlicer	0			1	contextMenu	
ContextMenuTimeSlicerLevel	0			1	contextMenu	
ContextMenuTitleBar	0			1	contextMenu	
ContextMenuWorkbook	0			1	contextMenu	
ContextMenuWorkbookPly	0			1	contextMenu	
ContextMenuXmlRange	0			1	contextMenu	
ContextMenuXmlRangeLayout	0			1	contextMenu	
ContrastLess	1	button	Less Contrast	1	button	Less Contrast
ContrastMore	1	button	More Contrast	1	button	More Contrast
ControlProperties	1	button	Properties	1	button	Properties
ControlsGallery	1	gallery	Insert	1	gallery	Insert
ConvertPicturesToSmartArt	1	gallery	Picture Layout	0		
ConvertSmartArtToShapes	1	button	Convert to Shapes	0		
ConvertTextToTable	1	button	Convert Text to Table	1	button	Convert Text to Table
Copy	1	button	Copy	1	button	Copy
CopyAsPicture	1	button	Copy as Picture	1	button	Copy as Picture
CopySplitButton	0			1	splitButton	Copy
CornerVertex	1	toggleButton	Corner Point	1	toggleButton	Corner Point
CreateNewSlicerStyle	1	button	New Slicer Style	0		
CustomViews	0			1	comboBox	Custom Views
CustomViewsDropdown	1	comboBox	Custom Views	0		
Cut	1	button	Cut	1	button	Cut
DarkShading	1	button	Dark Shading	1	button	Dark Shading
DataFormExcel	1	button	Form	1	button	Form
DataRangeProperties	1	button	Properties	1	button	Properties
DataTable	1	button	Data Table	1	button	Data Table
DataValidation	1	button	Data Validation	1	button	Data Validation
DataValidationCircleInvalid	1	button	Circle Invalid Data	1	button	Circle Invalid Data
DataValidationClearValidationCircles	1	button	Clear Validation Circles	1	button	Clear Validation Circles
DataValidationMenu	1	splitButton	Data Validation	1	splitButton	Data Validation
DatabaseQueryNew	1	button	New Database Query	1	button	New Database Query
DecimalsDecrease	1	button	Decrease Decimal	1	button	Decrease Decimal
DecimalsIncrease	1	button	Increase Decimal	1	button	Increase Decimal
DeleteNode	1	button	Delete Point	1	button	Delete Point
DeleteSegment	1	button	Delete Segment	1	button	Delete Segment
DesignMode	1	toggleButton	Design Mode	1	toggleButton	Design Mode
DiscardCachedDocumentChanges	1	button	Discard Changes	0		
DivisionSign	1	button	Division Sign	1	button	Division Sign
DocumentLocation	1	comboBox	Address	1	comboBox	Address
DocumentPanelTemplate	1	button	Document Panel	1	button	Document Panel
DollarSign	1	button	Dollar Sign	1	button	Dollar Sign
DrawingCanvasExpand	1	button	Expand	1	button	Expand
DrawingCanvasFit	1	button	Fit	1	button	Fit
DrawingCanvasResize	1	button	Resize	1	button	Resize
EditLinks	1	button	Edit Links	1	button	Edit Links
EditQuery	1	button	Edit Query	1	button	Edit Query
EditSingleSparklineData	1	button	Edit Single Sparkline's Data	0		
EditSparklineGroupLocationAndData	1	button	Edit Group Location & Data	0		
EditSparklineLocationAndDataMenu	1	splitButton	Edit Data	0		
EqualSign	1	button	Equal Sign	1	button	Equal Sign
EquationAccentGallery	1	gallery	Accent	1	gallery	Accent
EquationDelimiterGallery	1	gallery	Bracket	1	gallery	Bracket
EquationFractionGallery	1	gallery	Fraction	1	gallery	Fraction
EquationFunctionGallery	1	gallery	Function	1	gallery	Function
EquationInsertGallery	1	gallery	Equation	1	gallery	Equation
EquationInsertNew	1	button	Insert New Equation	1	button	Insert New Equation
EquationIntegralGallery	1	gallery	Integral	1	gallery	Integral
EquationLargeOperatorGallery	1	gallery	Large Operator	1	gallery	Large Operator
EquationLimitGallery	1	gallery	Limit and Log	1	gallery	Limit and Log
EquationLinearFormat	1	button	Linear	1	button	Linear
EquationMatrixGallery	1	gallery	Matrix	1	gallery	Matrix
EquationNormalText	1	toggleButton	Normal Text	1	toggleButton	Normal Text
EquationOperatorGallery	1	gallery	Operator	1	gallery	Operator
EquationOptions	1	button (dialogBoxLauncher)	Equation Options	1	button (dialogBoxLauncher)	Equation Options
EquationOptionsGallery	0			1	gallery	Math Options
EquationProfessional	1	button	Professional	1	button	Professional
EquationRadicalGallery	1	gallery	Radical	1	gallery	Radical
EquationScriptGallery	1	gallery	Script	1	gallery	Script
EquationSymbolsInsertGallery	1	gallery	Equation Symbols	1	gallery	Equation Symbols
ErrorChecking	1	button	Error Checking	1	button	Error Checking
ErrorCheckingMenu	1	splitButton	Error Checking	1	splitButton	Error Checking
ExchangeFolder	1	button	Exchange Folder	1	button	Exchange Folder
ExitEditCurve	1	button	Exit Edit Point	1	button	Exit Edit Point
ExponentiationSign	1	button	Exponentiation Sign	1	button	Exponentiation Sign
FifthCorrectionAlternative	0			1	button	(No Suggestion)
FileAddDigitalSignature	1	button	Add a Digital Signature	1	button	Add a Digital Signature
FileCheckIn	1	button	Check In	1	button	Check In
FileCheckOut	1	button	Check Out	1	button	Check Out
FileCheckOutDiscard	1	button	Discard Check Out	1	button	Discard Check Out
FileClose	1	button	Close	1	button	Close
FileCloseAll	1	button	Close All	1	button	Close All
FileCompatibilityChecker	1	button	Check Compatibility	1	button	Check Compatibility
FileCreateDocumentWorkspace	1	toggleButton	Create Document Workspace	1	toggleButton	Create Document Workspace
FileDiscardCachedChanges	0			1	button	Discard Changes
FileDocumentEncrypt	1	toggleButton	Encrypt Document	1	toggleButton	Encrypt Document
FileDocumentInspect	1	button	Inspect Document	1	button	Inspect Document
FileDocumentManagementInformation	1	toggleButton	Document Management Information	1	toggleButton	Document Management Information
FileEmailAsPdfEmailAttachment	1	button	E-mail as PDF Attachment	1	button	E-mail as PDF Attachment
FileEmailAsXpsEmailAttachment	1	button	E-mail as XPS Attachment	1	button	E-mail as XPS Attachment
FileExcelServicesOptions	1	button	Excel Services Options	1	button	Publish Options
FileExit	1	button	Exit	1	button	Exit
FileInternetFax	1	button	Internet Fax	1	button	Internet Fax
FileLinksToFiles	1	button	Edit Links to Files	1	button	Edit Links to Files
FileMarkAsFinal	1	toggleButton	Mark as Final	1	toggleButton	Mark as Final
FileNew	1	button	New	1	button	New
FileNewDefault	1	button	New	1	button	New
FileOpen	1	button	Open	1	button	Open
FileOpenRecentFile	1	button	Open Recent File	1	button	Open Recent File
FileOpenUsingBackstage	0			1	button	Open
FilePermission	1	button	Permission	1	button	Permission
FilePermissionDoNotDistribute	1	toggleButton	Restricted Access	1	toggleButton	Restricted Access
FilePermissionRestrictAs	1	button	Manage Credentials	1	button	Manage Credentials
FilePermissionRestrictMenu	1	menu	Restrict Permission	1	menu	Restrict Permission
FilePermissionUnrestricted	1	toggleButton	Unrestricted Access	1	toggleButton	Unrestricted Access
FilePermissionView	1	button	View Permission	1	button	View Permission
FilePrepareMenu	1	menu	Prepare	1	menu	Prepare
FilePrint	1	button	Print	1	button	Print
FilePrintMenu	1	splitButton	Preview and Print	1	splitButton	Preview and Print
FilePrintPreview	1	button	Print Preview	1	button	Print Preview
FilePrintQuick	1	button	Quick Print	1	button	Quick Print
FileProperties	1	toggleButton	Properties	1	toggleButton	Properties
FilePublishAsWebPage	1	button	Publish as Web Page	1	button	Publish as Web Page
FilePublishExcelServices	1	button	Publish to Excel Services	1	button	Publish to Excel Services
FileSave	1	button	Save	1	button	Save
FileSaveACopy	0			1	button	Save a Copy
FileSaveAs	1	button	Save As	1	button	Save As
FileSaveAsExcel97_2003	1	button	Excel 97-2003 Workbook	1	button	Excel 97-2003 Workbook
FileSaveAsExcelOpenDocumentSpreadsheet	1	button	OpenDocument Spreadsheet	1	button	OpenDocument Spreadsheet
FileSaveAsExcelXlsb	1	button	Binary Workbook	1	button	Binary Workbook
FileSaveAsExcelXlsx	1	button	Workbook	1	button	Workbook
FileSaveAsExcelXlsxMacro	1	button	Macro-Enabled Workbook	1	button	Macro-Enabled Workbook
FileSaveAsMenu	1	splitButton	Save As Other Format	1	splitButton	Save As Other Format
FileSaveAsOtherFormats	0			1	button	Save As
FileSaveAsPdfOrXps	1	button	Publish as PDF or XPS	1	button	Publish as PDF or XPS
FileSaveAsWebPage	1	button	Single Web Page (*.mht)	1	button	Single Web Page (*.mht)
FileSaveToDocumentManagementServer	1	button	Document Management Server	1	button	Document Management Server
FileSendAsAttachment	1	button	E-mail	1	button	Email
FileSendMenu	1	menu	Send	1	menu	Send
FileServerTasksMenu	1	menu	Server	1	menu	Server
FileStartWorkflow	1	button	Workflows	1	button	Workflows
FileTypeChange	0			1	task	
FileTypes	0			1	category	File Types
FileUpdate	1	button	Update File	1	button	Update File
FileVersionHistory	1	button	View Version History	1	button	View Version History
FileViewDigitalSignatures	1	toggleButton	View Signatures	1	toggleButton	View Signatures
FileWorkflowTasks	1	button	View Workflow Tasks	1	button	View Workflow Tasks
FillAcrossWorksheets	1	button	Across Worksheets	1	button	Across Worksheets
FillDown	1	button	Down	1	button	Down
FillJustify	1	button	Justify	1	button	Justify
FillLeft	1	button	Left	1	button	Left
FillMenu	1	menu	Fill	1	menu	Fill
FillRight	1	button	Right	1	button	Right
FillSeries	1	button	Series	1	button	Series
FillUp	1	button	Up	1	button	Up
Filter	1	toggleButton	Filter	1	toggleButton	Filter
FilterReapply	1	button	Reapply	1	button	Reapply
FindDialogExcel	1	button	Find	1	button	Find
FirstCorrectionAlternative	0			1	button	(No Suggestion)
Font	1	comboBox	Font	1	comboBox	Font
FontColorCycle	1	button	Color	1	button	Color
FontColorMoreColorsDialogExcel	1	button	More Colors	1	button	More Colors
FontColorPicker	1	gallery	Font Color	1	gallery	Font Color
FontDialog	1	button	Font	1	button	Font
FontShadingColorMoreColorsDialog	1	button	More Colors	1	button	More Colors
FontSize	1	comboBox	Font Size	1	comboBox	Font Size
FontSizeDecrease	1	button	Decrease Font Size	1	button	Decrease Font Size
FontSizeIncrease	1	button	Increase Font Size	1	button	Increase Font Size
FormControlButton	1	button	Button	1	button	Button
FormControlCheckBox	1	button	Check Box	1	button	Check Box
FormControlCombinationDropDownEdit	1	button	Combination Drop-Down Edit	1	button	Combination Drop-Down Edit
FormControlCombinationListEdit	1	button	Combination List-Edit	1	button	Combination List-Edit
FormControlComboBox	1	button	Combo Box	1	button	Combo Box
FormControlEditBox	1	button	Edit Box	1	button	Edit Box
FormControlGroupBox	1	button	Group Box	1	button	Group Box
FormControlLabel	1	button	Label	1	button	Label
FormControlListBox	1	button	List Box	1	button	List Box
FormControlRadioButton	1	button	Option Button	1	button	Option Button
FormControlScrollBar	1	button	Scroll Bar	1	button	Scroll Bar
FormControlSpinner	1	button	Spinner	1	button	Spinner
FormatAsTableGallery	1	gallery	Format as Table	1	gallery	Format as Table
FormatCellsDialog	1	button	Format Cells	1	button	Format Cells
FormatCellsFontDialog	1	button (dialogBoxLauncher)	Format Cell Font	1	button (dialogBoxLauncher)	Format Cell Font
FormatCellsMenu	1	menu	Format	1	menu	Format
FormatCellsNumberDialog	1	button (dialogBoxLauncher)	Format Cell Number	1	button (dialogBoxLauncher)	Format Cell Number
FormatPainter	1	control	Format Painter	1	control	Format Painter
FormulaEvaluate	1	button	Evaluate Formula	1	button	Evaluate Formula
FormulaMoreFunctionsMenu	1	menu	More Functions	1	menu	More Functions
FourthCorrectionAlternative	0			1	button	(No Suggestion)
FreezePanes	1	button	Freeze Panes	1	button	Freeze Panes
FunctionWizard	1	button	Insert Function	1	button	Insert Function
FunctionsCompatibility	0			1	gallery	Compatibility
FunctionsCubeInsertGallery	1	gallery	Cube	1	gallery	Cube
FunctionsDateTimeInsertGallery	1	gallery	Date & Time	1	gallery	Date & Time
FunctionsEngineeringInsertGallery	1	gallery	Engineering	1	gallery	Engineering
FunctionsFinancialInsertGallery	1	gallery	Financial	1	gallery	Financial
FunctionsInformationInsertGallery	1	gallery	Information	1	gallery	Information
FunctionsLogicalInsertGallery	1	gallery	Logical	1	gallery	Logical
FunctionsLookupReferenceInsertGallery	1	gallery	Lookup & Reference	1	gallery	Lookup & Reference
FunctionsMathTrigInsertGallery	1	gallery	Math & Trig	1	gallery	Math & Trig
FunctionsRecentlyUsedtInsertGallery	1	gallery	Recently Used	1	gallery	Recently Used
FunctionsStatisticalInsertGallery	1	gallery	Statistical	1	gallery	Statistical
FunctionsTextInsertGallery	1	gallery	Text	1	gallery	Text
FunctionsWebInsertGallery	0			1	gallery	Web
GalPens	1	gallery	Pens	0		
GetExternalDataExistingConnections	1	button	Existing Connections	1	button	Existing Connections
GetExternalDataFromAccess	1	button	From Access	1	button	From Access
GetExternalDataFromOtherSources	1	gallery	From Other Sources	1	gallery	From Other Sources
GetExternalDataFromText	1	button	From Text	1	button	From Text
GetExternalDataFromWeb	1	button	From Web	1	button	From Web
GetExternalDataImportClassic	1	button	Import External Data	1	button	Import External Data
GetLinks	0			1	task	Get a Sharing Link
GlowColorMoreColorsDialog	1	button	More Colors	1	button	More Colors
GlowColorPicker	1	gallery	More Glow Colors	1	gallery	More Glow Colors
GlowOptionsDialog	1	button	Glow Options	0		
GlowsMoreOptions	0			1	button	Glow Options
GoTo	1	button	Go To	1	button	Go To
GoToComments	1	button	Comments	1	button	Comments
GoToConditionalFormatting	1	button	Conditional Formatting	1	button	Conditional Formatting
GoToConstants	1	button	Constants	1	button	Constants
GoToDataValidation	1	button	Data Validation	1	button	Data Validation
GoToFooter	1	button	Go to Footer	1	button	Go to Footer
GoToFormulas	1	button	Formulas	1	button	Formulas
GoToHeader	1	button	Go to Header	1	button	Go to Header
GoToSpecial	1	button	Go To Special	1	button	Go To Special
GoalSeek	1	button	Goal Seek	1	button	Goal Seek
GradientGallery	1	gallery	Gradient	1	gallery	Gradient
GridlinesExcel	0			1	checkBox	View
GridlinesLabel	1	control	Gridlines	1	labelControl	Gridlines
Group3DEffects	1	group	3-D Effects	1	group	3-D Effects
GroupARMPreview	0			1	group	Prevew Edition
GroupAboutOfficeProducts	0			1	group	Learn More about Your Microsoft Office Product
GroupAddInsCustomToolbars	1	group	Custom Toolbars	1	group	Custom Toolbars
GroupAddInsMenuCommands	1	group	Menu Commands	1	group	Menu Commands
GroupAddInsToolbarCommands	1	group	Toolbar Commands	1	group	Toolbar Commands
GroupAddLocation	0			1	group	
GroupAddins	0			1	group	Add-Ins
GroupAlignmentExcel	1	group	Alignment	1	group	Alignment
GroupAppShare	0			1	group	Present Online
GroupArrange	1	group	Arrange	1	group	Arrange
GroupBackgroundRemoval	1	group	Background Removal	0		
GroupBackgroundRemovalClose	0			1	group	Close
GroupBackgroundRemovalMode	1	group	Background Removal	1	group	Refine
GroupBackstageIdentity	0			1	group	User Information
GroupBackstageSignIn	0			1	group	Sign in to Office
GroupBackstageSignInDisabled	0			1	group	Sign-in has been disabled
GroupCalculation	1	group	Calculation	1	group	Calculation
GroupCells	1	group	Cells	1	group	Cells
GroupChangesExcel	1	group	Changes	1	group	Changes
GroupChartAnalysis	1	group	Analysis	1	group	Analysis
GroupChartAxes	1	group	Axes	1	group	Axes
GroupChartBackground	1	group	Background	1	group	Background
GroupChartCurrentSelection	1	group	Current Selection	1	group	Current Selection
GroupChartData	1	group	Data	1	group	Data
GroupChartDrawingModes	1	group	Mode	0		
GroupChartLabels	1	group	Labels	1	group	Labels
GroupChartLayouts	1	group	Chart Layouts	1	group	Chart Layouts
GroupChartLocation	1	group	Location	1	group	Location
GroupChartProperties	1	group	Properties	1	group	Properties
GroupChartShapes	1	group	Insert	1	group	Insert
GroupChartStyles	1	group	Chart Styles	1	group	Chart Styles
GroupChartType	1	group	Type	1	group	Type
GroupCheckIn	0			1	group	Check In
GroupClickToRunUpdateStatus	0			1	group	Click to Run Update Status
GroupClipboard	1	group	Clipboard	1	group	Clipboard
GroupCloseBackgroundRemoval	1	group	Close	0		
GroupCode	1	group	Code	1	group	Code
GroupComments	1	group	Comments	1	group	Comments
GroupConnections	1	group	Connections	1	group	Connections
GroupControls	1	group	Controls	1	group	Controls
GroupCreatePdfOrXpsDocument	0			1	group	
GroupDataTools	1	group	Data Tools	1	group	Data Tools
GroupDocumentProperties	0			1	group	Properties
GroupDrawBorders	1	group	Draw Borders	1	group	Draw Borders
GroupDynamicServiceProvider	0			1	group	
GroupEditSparklineData	1	group	Sparkline	0		
GroupEditingExcel	1	group	Editing	1	group	Editing
GroupEquationStructures	1	group	Structures	1	group	Structures
GroupEquationSymbols	1	group	Symbols	1	group	Symbols
GroupEquationTools	1	group	Tools	1	group	Tools
GroupFileConvert	0			1	group	Compatibility Mode
GroupFileSave	0			1	group	
GroupFont	1	group	Font	1	group	Font
GroupFormulaAuditing	1	group	Formula Auditing	1	group	Formula Auditing
GroupFunctionLibrary	1	group	Function Library	1	group	Function Library
GroupGetExternalData	1	group	Get External Data	1	group	Get External Data
GroupHeaderFooter	1	group	Header & Footer	1	group	Header & Footer
GroupHeaderFooterElements	1	group	Header & Footer Elements	1	group	Header & Footer Elements
GroupHeaderFooterNavigation	1	group	Navigation	1	group	Navigation
GroupHeaderFooterOptions	1	group	Options	1	group	Options
GroupInk	1	group	Ink	1	group	Ink
GroupInkClose	1	group	Close	1	group	Close
GroupInkFormat	0			1	group	Format
GroupInkPens	1	group	Pens	1	group	Pens
GroupInkSelect	1	group	Select	1	group	Select
GroupInsertBarcode	1	group	Barcode	1	group	Barcode
GroupInsertChartsExcel	1	group	Charts	1	group	Charts
GroupInsertIllustrations	1	group	Illustrations	1	group	Illustrations
GroupInsertLinks	1	group	Links	1	group	Links
GroupInsertSlicer	1	group	Filter	0		
GroupInsertSparklines	1	group	Sparklines	0		
GroupInsertSymbols	1	group	Symbols	1	group	Symbols
GroupInsertTablesExcel	1	group	Tables	1	group	Tables
GroupInsertText	1	group	Text	1	group	Text
GroupLanguage	1	group	Language	1	group	Language
GroupMacros	1	group	Macros	1	group	Macros
GroupModify	1	group	Modify	1	group	Modify
GroupNamedCells	1	group	Defined Names	1	group	Defined Names
GroupNewPens	1	group	Pens	0		
GroupNewWrite	1	group	Write	0		
GroupNumber	1	group	Number	1	group	Number
GroupOfficeBranding	0			1	group	Office Branding
GroupOfficeExtension	0			1	group	Apps
GroupOfficeStart	0			1	group	New
GroupOpenPlaces	0			1	taskFormGroup	Open
GroupOutline	1	group	Outline	1	group	Outline
GroupPageLayoutScaleToFit	1	group	Scale to Fit	1	group	Scale to Fit
GroupPageLayoutSheetOptions	1	group	Sheet Options	1	group	Sheet Options
GroupPageSetup	1	group	Page Setup	1	group	Page Setup
GroupPens	0			1	group	Pens
GroupPensWrite	0			1	group	Write
GroupPermissions	0			1	group	Permissions
GroupPictureSize	1	group	Size	1	group	Size
GroupPictureStyles	1	group	Picture Styles	1	group	Picture Styles
GroupPictureTools	1	group	Adjust	1	group	Adjust
GroupPivotActions	1	group	Actions	1	group	Actions
GroupPivotChartActions	0			1	group	Actions
GroupPivotChartActiveField	1	group	Active Field	1	group	Active Field
GroupPivotChartCalculations	0			1	group	Calculations
GroupPivotChartData	1	group	Data	1	group	Data
GroupPivotChartFilter	0			1	group	Filter
GroupPivotChartOptions	0			1	group	PivotChart
GroupPivotChartShowOrHide	1	group	Show/Hide	1	group	Show/Hide
GroupPivotTableActiveField	1	group	Active Field	1	group	Active Field
GroupPivotTableCalculations	1	group	Calculations	1	group	Calculations
GroupPivotTableCalculationsDeprecated	0			1	group	Calculations
GroupPivotTableData	1	group	Data	1	group	Data
GroupPivotTableGroup	1	group	Group	1	group	Group
GroupPivotTableLayout	1	group	Layout	1	group	Layout
GroupPivotTableOptions	1	group	PivotTable	1	group	PivotTable
GroupPivotTableShowHide	1	group	Show/Hide	1	group	Show
GroupPivotTableSort	1	group	Sort & Filter	1	group	Filter
GroupPivotTableStyleOptions	1	group	PivotTable Style Options	1	group	PivotTable Style Options
GroupPivotTableStyles	1	group	PivotTable Styles	1	group	PivotTable Styles
GroupPivotTableTools	1	group	Tools	1	group	Tools
GroupPowerViewReports	0			1	group	Reports
GroupPrepareForSharing	0			1	group	Prepare for Sharing
GroupPrintPreview	0			1	group	Print Preview
GroupPrintPreviewPreview	1	group	Preview	1	group	Preview
GroupPrintPreviewPrint	1	group	Print	1	group	Print
GroupPrintPreviewZoom	1	group	Zoom	1	group	Zoom
GroupPrintProtectedView	0			1	group	Protected View
GroupPrintSettings	0			1	group	Print Settings
GroupProofing	1	group	Proofing	1	group	Proofing
GroupProtectedView	0			1	group	Protected View
GroupPublishToExcelServices	0			1	group	
GroupReadOnly	0			1	group	Read-Only Document
GroupReadOnlyCached	0			1	group	Read-Only Document
GroupReadOnlyCachedOffline	0			1	group	Offline Copy
GroupReadOnlyCheckOutRequired	0			1	group	Read-Only Document
GroupReadOnlyOffline	0			1	group	Want to edit this document?
GroupReadOnlyServer	0			1	group	Want to edit this document?
GroupRecentDocuments	0			1	group	Recent Documents
GroupRecentPlaces	0			1	group	Browse a Location
GroupRecoverUnsavedFiles	0			1	group	Recover Unsaved Files
GroupSecurityWarning	0			1	group	Security Warning
GroupSelectedSparklines	1	button	Group	0		
GroupSendAsAttachment	0			1	group	
GroupSendAsInternetFax	0			1	group	
GroupSendAsLink	0			1	group	
GroupSendAsPdf	0			1	group	
GroupSendAsXps	0			1	group	
GroupSendByInstantMessage	0			1	group	
GroupShadowEffects	1	group	Shadow Effects	1	group	Shadow Effects
GroupShapeStyles	1	group	Shape Styles	1	group	Shape Styles
GroupShapes	1	group	Insert Shapes	1	group	Insert Shapes
GroupShapesChart	0			1	group	Insert Shapes
GroupShare	0			1	taskFormGroup	Sending Features
GroupShareWithNetwork	0			1	group	Share with Network
GroupShareWithPeople	0			1	group	Share with People
GroupShowSparklineDetails	1	group	Show/Hide	0		
GroupSignatures	0			1	group	Finalize
GroupSize	1	group	Size	1	group	Size
GroupSlicerInsert	0			1	group	Filters
GroupSlicerOptions	1	group	Slicer	1	group	Slicer
GroupSlicerRowColumnSize	1	group	Buttons	1	group	Buttons
GroupSlicerStyles	1	group	Slicer Styles	1	group	Slicer Styles
GroupSmartArtCreateGraphic	1	group	Create Graphic	1	group	Create Graphic
GroupSmartArtLayouts	1	group	Layouts	1	group	Layouts
GroupSmartArtQuickStyles	1	group	SmartArt Styles	1	group	SmartArt Styles
GroupSmartArtReset	1	group	Reset	1	group	Reset
GroupSmartArtShapes	1	group	Shapes	1	group	Shapes
GroupSmartArtSize	1	group	Size	1	group	Size
GroupSortFilter	1	group	Sort & Filter	1	group	Sort & Filter
GroupSparklineDataEdit	0			1	group	Sparkline
GroupSparklineDetailsShow	0			1	group	Show
GroupSparklineGroup	1	group	Group	1	group	Group
GroupSparklineStyle	1	group	Style	1	group	Style
GroupSparklineType	1	group	Type	1	group	Type
GroupSparklinesInsert	0			1	group	Sparklines
GroupStyles	1	group	Styles	1	group	Styles
GroupTableExternalData	1	group	External Table Data	1	group	External Table Data
GroupTableProperties	1	group	Properties	1	group	Properties
GroupTableStyleOptions	1	group	Table Style Options	1	group	Table Style Options
GroupTableStylesExcel	1	group	Table Styles	1	group	Table Styles
GroupTableTools	1	group	Tools	1	group	Tools
GroupThemesExcel	1	group	Themes	1	group	Themes
GroupThumbnail	0			1	group	
