idMso	Exists in Office Excel 2010	Type in Office Excel 2010	Label in Office Excel 2010	Exists in Office Excel 2013	Type in Office Excel 2013	Label in Office Excel 2013
BorderErase	1	toggleButton	Erase Border	1	toggleButton	Erase Border
BorderInside	1	button	Inside Borders	1	button	Inside Borders
BorderInsideHorizontal	1	button	Inside Horizontal Border	1	button	Inside Horizontal Border
BorderInsideVertical	1	button	Inside Vertical Border	1	button	Inside Vertical Border
BorderLeft	1	toggleButton	Left Border	1	toggleButton	Left Border
BorderLeftNoToggle	1	button	Left Border	1	button	Left Border
BorderMoreColorsDialog	1	button	More Colors	1	button	More Colors
BorderNone	1	button	No Border	1	button	No Border
BorderOutside	1	button	Outside Borders	1	button	Outside Borders
BorderRight	1	toggleButton	Right Border	1	toggleButton	Right Border
BorderRightNoToggle	1	button	Right Border	1	button	Right Border
BorderStyle	1	dropDown	Line Style	1	dropDown	Line Style
BorderThickBottom	1	button	Thick Bottom Border	1	button	Thick Bottom Border
BorderThickOutside	1	button	Thick Box Border	1	button	Thick Box Border
BorderTop	1	toggleButton	Top Border	1	toggleButton	Top Border
BorderTopAndBottom	1	button	Top and Bottom Border	1	button	Top and Bottom Border
BorderTopAndDoubleBottom	1	button	Top and Double Bottom Border	1	button	Top and Double Bottom Border
BorderTopAndThickBottom	1	button	Top and Thick Bottom Border	1	button	Top and Thick Bottom Border
BorderTopNoToggle	1	button	Top Border	1	button	Top Border
BordersAll	1	button	All Borders	1	button	All Borders
BordersGallery	1	splitButton	Borders	1	splitButton	Borders
BordersMoreDialog	1	button	More Borders	1	button	More Borders
BrightnessLess	1	button	Less Brightness	1	button	Less Brightness
BrightnessMore	1	button	More Brightness	1	button	More Brightness
BulletsAndNumberingBulletsDialog	1	button	Bullets and Numbering	1	button	Bullets and Numbering
BulletsGallery	1	gallery	Bullets	1	gallery	Bullets
ButtonCategoryAvailableFileTypes	1	category		0		
ButtonCategoryContactMicrosoft	1	category		0		
ButtonCategoryMicrosoftTools	1	category		0		
ButtonCategoryRecentDocuments	0			1	category	Places
ButtonCategorySend	1	category		0		
ButtonCategorySpecialLocations	1	category		0		
ButtonCategoryWorkflow	1	category		0		
ButtonOpenBrowse	0			1	button	Browse More Files
ButtonTaskClickToRunStatusUpdates	1	task		0		
ButtonTaskContactMicrosoft	1	task		0		
ButtonTaskDynamicServiceProvider	0			1	task	
ButtonTaskOfficeOnline	1	task		0		
ButtonTaskOfficeUpgrade	1	task		0		
ButtonTaskProductUpdates	1	task		0		
ButtonTaskRecentDocuments	0			1	task	
ButtonTaskSaveDocument	1	task		0		
ButtonTaskSaveToGroove	1	task		0		
ButtonTaskSaveToSharePoint	1	task		0		
ButtonTaskSelfSupport	1	task		0		
ButtonTaskSendByIM	1	task		0		
ButtonTaskSendUsingEmail	1	task		0		
ButtonTaskShareApplication	1	task		0		
ButtonTaskStartWorkflow	1	task		0		
ButtonTaskSystemInformation	1	task		0		
ButtonTaskWorkflowsUnavailable	1	task		0		
CalculateFull	1	button	TBA	1	button	TBA
CalculateNow	1	button	Calculate Now	1	button	Calculate Now
CalculateSheet	1	button	Calculate Sheet	1	button	Calculate Sheet
CalculationOptionsAutomatically	1	toggleButton	Automatic	1	toggleButton	Automatic
CalculationOptionsAutomaticallyExceptDataTables	1	toggleButton	Automatic Except for Data Tables	1	toggleButton	Automatic Except for Data Tables
CalculationOptionsManuallly	1	toggleButton	Manual	1	toggleButton	Manual
CalculationOptionsMenu	1	menu	Calculation Options	1	menu	Calculation Options
Calculator	1	button	Calculator	1	button	Calculator
Camera	1	button	Camera	1	button	Camera
CellAlignmentOptions	1	button	Format Cell Alignment	1	button	Format Cell Alignment
CellFillColorPicker	1	gallery	Shading	1	gallery	Shading
CellStyleNew	1	button	New Cell Style	1	button	New Cell Style
CellStylesGallery	1	gallery	Cell Styles	1	gallery	Cell Styles
CellStylesMerge	1	button	Merge Styles	1	button	Merge Styles
CellsDelete	1	button	Delete Cells	1	button	Delete Cells
CellsDeleteSmart	1	button	Delete Cells	1	button	Delete Cells
CellsInsertDialog	1	button	Insert Copied Cells	1	button	Insert Cells
CellsInsertSmart	1	button	Insert Cells	1	button	Insert Cells
ChangesDiscardAndRefresh	1	button	Discard Changes and Refresh	1	button	Discard Changes and Refresh
Chart3DView	1	button	3-D Rotation	1	button	3-D Rotation
ChartAddAxis	1	button	Add Axis	1	button	Add Axis
ChartAxes	1	menu	Axes	1	menu	Axes
ChartAxesGallery	0			1	gallery	Axes
ChartAxesOptionsDialog	0			1	button	More Axis Options
ChartAxesTitlesOptionsDialog	0			1	button	More Axis Title Options
ChartAxisTitles	1	menu	Axis Titles	1	menu	Axis Titles
ChartAxisTitlesGallery	0			1	gallery	Axis Titles
ChartCalloutDataLabelAdd	0			1	button	Add Data Callout
ChartCalloutDataLabelsAdd	0			1	button	Add Data Callouts
ChartChangeDataLabelShapeGallery	0			1	gallery	Change Data Label Shape
ChartChangeDataLabelShapesGallery	0			1	gallery	Change Data Label Shapes
ChartChangeType	1	button	Change Chart Type	1	button	Change Chart Type
ChartColorsGallery	0			1	gallery	Change Colors
ChartDataLabel	1	gallery	Data Labels	1	gallery	Data Labels
ChartDataLabelAdd	1	button	Add Data Label	1	button	Add Data Label
ChartDataLabelDialog	1	button	More Data Label Options	1	button	More Data Label Options
ChartDataLabelsAdd	1	button	Add Data Labels	1	button	Add Data Labels
ChartDataTable	1	gallery	Data Table	1	gallery	Data Table
ChartDataTableOptionsDialog	1	button	More Data Table Options	1	button	More Data Table Options
ChartDebugInto	1	button		0		
ChartDelete	1	button	Delete	1	button	Delete
ChartDeleteSeries	1	button	Delete Series	1	button	Delete Series
ChartDepthAxis	1	gallery	Depth Axis	1	gallery	Depth Axis
ChartDepthAxisOptionsDialog	1	button	More Depth Axis Options	1	button	More Depth Axis Options
ChartDepthAxisTitle	1	gallery	Depth Axis Title	1	gallery	Depth Axis Title
ChartDepthAxisTitleOptionsDialog	1	button	More Depth Axis Title Options	1	button	More Depth Axis Title Options
ChartDepthGridlines	1	gallery	Depth Gridlines	1	gallery	Depth Gridlines
ChartDepthGridlinesOptionsDialog	1	button	More Depth Gridlines Options	1	button	More Depth Gridlines Options
ChartDialogLauncherAll	0			1	button (dialogBoxLauncher)	All Charts
ChartDraftModeToggle	1	toggleButton	Draft	0		
ChartDrawingModeMenu	1	splitButton	Draft	0		
ChartEditDataMenu	0			1	splitButton	Edit Data
ChartEditDataSource	1	button	Select Data	1	button	Select Data
ChartEditText	1	button	Edit Text	1	button	Edit Text
ChartElementSelector	1	comboBox	Chart Elements	1	comboBox	Chart Elements
ChartErrorBars	1	gallery	Error Bars	1	gallery	Error Bars
ChartErrorBarsOptionsDialog	1	button	More Error Bars Options	1	button	More Error Bars Options
ChartExitEditText	1	button	Exit Edit Text	1	button	Exit Edit Text
ChartExpandCollapseMenu	1	menu	Expand/Collapse	1	menu	Expand/Collapse
ChartFloor	1	gallery	Chart Floor	1	gallery	Chart Floor
ChartFloorOptionsDialog	1	button	More Floor Options	1	button	More Floor Options
ChartFormatAxis	1	button	Format Axis	1	button	Format Axis
ChartFormatAxisAndSelect	1	button	Format Axis	1	button	Format Axis
ChartFormatAxisTitle	1	button	Format Axis Title	1	button	Format Axis Title
ChartFormatBackWall	1	button	Format Back Wall	1	button	Format Back Wall
ChartFormatChartArea	1	button	Format Chart Area	1	button	Format Chart Area
ChartFormatChartTitle	1	button	Format Chart Title	1	button	Format Chart Title
ChartFormatDataLabel	1	button	Format Data Label	1	button	Format Data Label
ChartFormatDataLabelAndSelect	1	button	Format Data Label	1	button	Format Data Label
ChartFormatDataLabels	1	button	Format Data Labels	1	button	Format Data Labels
ChartFormatDataLabelsAndSelect	1	button	Format Data Labels	1	button	Format Data Labels
ChartFormatDataPoint	1	button	Format Data Point	1	button	Format Data Point
ChartFormatDataPointAndSelect	1	button	Format Data Point	1	button	Format Data Point
ChartFormatDataSeries	1	button	Format Data Series	1	button	Format Data Series
ChartFormatDataSeriesAndSelect	1	button	Format Data Series	1	button	Format Data Series
ChartFormatDataTable	1	button	Format Data Table	1	button	Format Data Table
ChartFormatDisplayUnit	1	button	Format Display Unit	1	button	Format Display Unit
ChartFormatDownBars	1	button	Format Down Bars	1	button	Format Down Bars
ChartFormatDropLines	1	button	Format Drop Lines	1	button	Format Drop Lines
ChartFormatErrorBars	1	button	Format Error Bars	1	button	Format Error Bars
ChartFormatFloor	1	button	Format Floor	1	button	Format Floor
ChartFormatGridlines	1	button	Format Gridlines	1	button	Format Gridlines
ChartFormatHighLowLine	1	button	Format High-Low Lines	1	button	Format High-Low Lines
ChartFormatLeaderLines	1	button	Format Leader Lines	1	button	Format Leader Lines
ChartFormatLegend	1	button	Format Legend	1	button	Format Legend
ChartFormatLegendEntry	1	button	Format Legend Entry	1	button	Format Legend Entry
ChartFormatMajorGridlinesAndSelect	1	button	Format Major Gridlines	1	button	Format Major Gridlines
ChartFormatMinorGridlinesAndSelect	1	button	Format Minor Gridlines	1	button	Format Minor Gridlines
ChartFormatPlotArea	1	button	Format Plot Area	1	button	Format Plot Area
ChartFormatSelection	1	button	Format Selection	1	button	Format Selection
ChartFormatSeriesLine	1	button	Format Series Lines	1	button	Format Series Lines
ChartFormatSideWall	1	button	Format Side Wall	1	button	Format Side Wall
ChartFormatTrendline	1	button	Format Trendline	1	button	Format Trendline
ChartFormatTrendlineAndSelect	1	button	Format Trendline	1	button	Format Trendline
ChartFormatTrendlineLabel	1	button	Format Trendline Label	1	button	Format Trendline Label
ChartFormatUpBars	1	button	Format Up Bars	1	button	Format Up Bars
ChartFormatWalls	1	button	Format Walls	1	button	Format Walls
ChartGridlineOptionsDialog	0			1	button	More Gridline Options
ChartGridlines	1	menu	Gridlines	1	menu	Gridlines
ChartGridlinesGallery	0			1	gallery	Gridlines
ChartHideSketchModeAlert	1	button	Hide This Alert	0		
ChartInsert	1	button	Chart	1	button	Chart
ChartInsertDataField	0			1	button	Insert Data Label Field
ChartInsertGalleryNew	0			1	button	Recommended Charts
ChartLayoutGallery	1	gallery	Quick Layout	1	gallery	Quick Layout
ChartLegend	1	gallery	Legend	1	gallery	Legend
ChartLegendOptionsDialogDialog	1	button	More Legend Options	1	button	More Legend Options
ChartLines	1	gallery	Lines	1	gallery	Lines
ChartMajorGridlinesAdd	1	button	Add Major Gridlines	1	button	Add Major Gridlines
ChartMinorGridlinesAdd	1	button	Add Minor Gridlines	1	button	Add Minor Gridlines
ChartName	1	control	Chart Name	1	control	Chart Name
ChartNameLabel	1	labelControl	Chart Name	1	labelControl	Chart Name
ChartNavDrillDownDrillUpMenu	0			1	menu	Drill Down/Drill Up
ChartNormalItem	1	toggleButton	Normal Mode	0		
ChartNormalModeForAll	1	button	Apply Normal Mode to all charts	0		
ChartPlacement	1	button	Move Chart	1	button	Move Chart
